플랫폼,날짜,순위,게임명,퍼블리셔
구글플레이,2025-07-12,41,SD건담 지 제네레이션 이터널,Bandai Namco Entertainment Inc.
구글플레이,2025-07-12,42,랜드 오브 제일,SINGAPORE JUST GAME TECHNOLOGY PTE. LTD.
구글플레이,2025-07-12,43,아키에이지 워,Kakao Games Corp.
구글플레이,2025-07-12,44,에그몬 월드:저니,"Apollo Technology Co.,Ltd"
구글플레이,2025-07-12,45,리니지M(12),NCSOFT
구글플레이,2025-07-12,46,사북성:언데드,Star Entertainment HK
구글플레이,2025-07-12,47,eFootball™,KONAMI
구글플레이,2025-07-12,48,로얄 킹덤 (Royal Kingdom),"Dream Games, Ltd."
구글플레이,2025-07-12,49,캔디크러쉬사가 (Candy Crush Saga),King
구글플레이,2025-07-12,50,나이트 크로우,"Wemade Co., Ltd"
구글플레이,2025-07-12,51,우마무스메 프리티 더비,Kakao Games Corp.
구글플레이,2025-07-12,52,컴투스프로야구V25,Com2uS
구글플레이,2025-07-12,53,Travel Town - 결합 어드벤처,Magmatic Games LTD
구글플레이,2025-07-12,54,인생존망겜,37GAMES
구글플레이,2025-07-12,55,트릭컬 리바이브,EPIDGames
구글플레이,2025-07-12,56,쿠키런: 킹덤,Devsisters Corporation
구글플레이,2025-07-12,57,Top Girl,A3Games
구글플레이,2025-07-12,58,모에라이: 운명의 계약,Ujoy Games
구글플레이,2025-07-12,59,리니지2 레볼루션,Netmarble
구글플레이,2025-07-12,60,문명: 연맹의 시대,"2K, Inc. - a Take-Two Interactive affiliate"
구글플레이,2025-07-12,61,레이븐2,Netmarble
구글플레이,2025-07-12,62,꿈의 집 (Homescapes),Playrix
구글플레이,2025-07-12,63,히어로 클래시: 강아지를 지키자,Glaciers Game
구글플레이,2025-07-12,64,에픽세븐,"Smilegate Holdings, Inc"
구글플레이,2025-07-12,65,블레이드&소울 레볼루션,Netmarble
구글플레이,2025-07-12,66,배틀그라운드,"KRAFTON, Inc."
구글플레이,2025-07-12,67,로드나인,"Smilegate Holdings, Inc"
구글플레이,2025-07-12,68,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp
구글플레이,2025-07-12,69,콩콩던전,Habby
구글플레이,2025-07-12,70,Limbus Company,Project Moon
구글플레이,2025-07-12,71,메카 어셈블:좀비 스웜,ONEMT SGP
구글플레이,2025-07-12,72,꿈의 마을 (Township),Playrix
